Experiment,Recall@1,Recall@5,Recall@10,Recall@20,Recall@30,MRR,nDCG@10,nDCG@30,P50_ms,P95_ms,P99_ms
EXP-A,3.33,40.0,56.67,66.67,73.33,0.1706,0.2562,0.2957,7233.38,8973.68,9888.16
EXP-B,6.67,43.33,50.0,53.33,60.0,0.189,0.2597,0.2828,13.64,15.02,5545.11
EXP-C,13.33,50.0,50.0,56.67,63.33,0.2843,0.3324,0.3647,31.63,41.76,61.04
EXP-D,10.0,46.67,56.67,70.0,70.0,0.2519,0.319,0.3543,30.96,35.23,5140.43
EXP-E,6.67,16.67,26.67,26.67,33.33,0.1139,0.1466,0.1612,1800.58,2314.12,5233.51
EXP-F,0.0,3.33,16.67,50.0,66.67,0.0661,0.065,0.186,1.07,2.51,2.83
EXP-G,6.67,33.33,33.33,40.0,50.0,0.1658,0.2009,0.2383,17.86,28.86,35.87
EXP-H,6.67,43.33,50.0,53.33,60.0,0.189,0.2597,0.2828,15.91,21.22,23.05
